,measure,Date_day,value,site_id,latitude,longitude
131,Relative Humidity,2019-11-21,34.757083333333334,1003,-37.8023,144.960923
132,Particulate Air Pollution (2.5 µm),2019-11-21,10.054166666666667,1004,-37.800575,144.964635
133,Particulate Air Pollution (10 µm),2019-11-21,44.612500000000004,1004,-37.800575,144.964635
134,Ambient Air Temperature,2019-11-21,25.62625,1004,-37.800575,144.964635
135,Relative Humidity,2019-11-21,34.18833333333333,1004,-37.800575,144.964635
136,Particulate Air Pollution (2.5 µm),2019-11-21,8.0375,1005,-37.800629,144.965052
137,Particulate Air Pollution (10 µm),2019-11-21,50.9125,1005,-37.800629,144.965052
138,Ambient Air Temperature,2019-11-21,25.537499999999998,1005,-37.800629,144.965052
139,Relative Humidity,2019-11-21,33.625,1005,-37.800629,144.965052
140,Particulate Air Pollution (2.5 µm),2019-11-22,5.920833333333333,1001,-37.800793,144.966492
141,Particulate Air Pollution (10 µm),2019-11-22,26.858333333333334,1001,-37.800793,144.966492
142,Ambient Air Temperature,2019-11-22,17.41208333333333,1001,-37.800793,144.966492
143,Relative Humidity,2019-11-22,51.187916666666666,1001,-37.800793,144.966492
144,Particulate Air Pollution (2.5 µm),2019-11-22,5.854166666666667,1002,-37.800524,144.964122
145,Particulate Air Pollution (10 µm),2019-11-22,25.391666666666666,1002,-37.800524,144.964122
146,Ambient Air Temperature,2019-11-22,16.427916666666665,1002,-37.800524,144.964122
147,Relative Humidity,2019-11-22,58.3325,1002,-37.800524,144.964122
148,Particulate Air Pollution (2.5 µm),2019-11-22,5.3999999999999995,1003,-37.8023,144.960923
149,Particulate Air Pollution (10 µm),2019-11-22,23.962500000000002,1003,-37.8023,144.960923
150,Ambient Air Temperature,2019-11-22,16.3675,1003,-37.8023,144.960923
151,Relative Humidity,2019-11-22,59.61083333333334,1003,-37.8023,144.960923
152,Particulate Air Pollution (2.5 µm),2019-11-22,6.004166666666666,1004,-37.800575,144.964635
153,Particulate Air Pollution (10 µm),2019-11-22,26.645833333333332,1004,-37.800575,144.964635
154,Ambient Air Temperature,2019-11-22,15.820833333333333,1004,-37.800575,144.964635
155,Relative Humidity,2019-11-22,58.382083333333334,1004,-37.800575,144.964635
156,Particulate Air Pollution (2.5 µm),2019-11-22,5.3500000000000005,1005,-37.800629,144.965052
157,Particulate Air Pollution (10 µm),2019-11-22,30.704166666666666,1005,-37.800629,144.965052
158,Ambient Air Temperature,2019-11-22,15.812916666666666,1005,-37.800629,144.965052
159,Relative Humidity,2019-11-22,58.08916666666667,1005,-37.800629,144.965052
160,Particulate Air Pollution (2.5 µm),2019-11-23,6.908333333333332,1001,-37.800793,144.966492
161,Particulate Air Pollution (10 µm),2019-11-23,31.008333333333336,1001,-37.800793,144.966492
162,Ambient Air Temperature,2019-11-23,17.514166666666664,1001,-37.800793,144.966492
163,Relative Humidity,2019-11-23,51.430416666666666,1001,-37.800793,144.966492
164,Particulate Air Pollution (2.5 µm),2019-11-23,6.8625,1002,-37.800524,144.964122
165,Particulate Air Pollution (10 µm),2019-11-23,31.479166666666668,1002,-37.800524,144.964122
166,Ambient Air Temperature,2019-11-23,16.36625,1002,-37.800524,144.964122
167,Relative Humidity,2019-11-23,59.07041666666667,1002,-37.800524,144.964122
168,Particulate Air Pollution (2.5 µm),2019-11-23,6.304166666666667,1003,-37.8023,144.960923
169,Particulate Air Pollution (10 µm),2019-11-23,28.704166666666666,1003,-37.8023,144.960923
